x,Q^2,F2_exp
0.75,24.5,0.174111
0.75,28,0.198984
0.75,32.5,0.230963
0.75,37.5,0.266496
0.75,43,0.305582
0.75,49.5,0.351775
0.75,57,0.405074
0.75,65.5,0.46548
0.75,75,0.532992
0.07,7.5,0.571063
0.07,8.75,0.66624
0.1,7.5,0.399744
0.1,8.75,0.466368
0.1,10.25,0.546317
0.14,8.75,0.33312
0.14,10.25,0.390226
0.14,11.75,0.447333
0.14,13.25,0.504439
0.14,15,0.571063
0.18,8.75,0.259093
0.18,10.25,0.303509
0.18,11.75,0.347925
0.18,13.25,0.392341
0.18,15,0.44416
0.18,17,0.503382
0.225,10.25,0.242808
0.225,11.75,0.27834
0.225,13.25,0.313873
0.225,15,0.355328
0.225,17,0.402705
0.225,19,0.450082
0.225,21.5,0.509304
0.225,24.5,0.580369
0.225,28,0.663279
0.275,10.25,0.198661
0.275,11.75,0.227733
0.275,13.25,0.256805
0.275,15,0.290723
0.275,17,0.329486
0.275,19,0.368249
0.275,21.5,0.416703
0.275,24.5,0.474848
0.275,28,0.542683
0.275,32.5,0.6299
0.275,37.5,0.726808
0.35,11.75,0.178933
0.35,13.25,0.201776
0.35,15,0.228425
0.35,17,0.258882
0.35,19,0.289339
0.35,21.5,0.32741
0.35,24.5,0.373095
0.35,28,0.426394
0.35,32.5,0.494921
0.35,37.5,0.571063
0.35,43,0.654819
0.45,11.75,0.13917
0.45,13.25,0.156937
0.45,15,0.177664
0.45,17,0.201353
0.45,19,0.225041
0.45,21.5,0.254652
0.45,24.5,0.290185
0.45,28,0.33164
0.45,32.5,0.384939
0.45,37.5,0.44416
0.45,43,0.509304
0.45,49.5,0.586291
0.45,57,0.675123
0.55,11.75,0.113867
0.55,13.25,0.128403
0.55,15,0.145362
0.55,17,0.164743
0.55,19,0.184125
0.55,21.5,0.208352
0.55,24.5,0.237424
0.55,28,0.271341
0.55,32.5,0.31495
0.55,37.5,0.363404
0.55,43,0.416703
0.55,49.5,0.479693
0.55,57,0.552374
0.55,65.5,0.634745
0.65,13.25,0.108648
0.65,15,0.122998
0.65,17,0.139398
0.65,19,0.155798
0.65,21.5,0.176297
0.65,24.5,0.200897
0.65,28,0.229597
0.65,32.5,0.266496
0.65,37.5,0.307496
0.65,43,0.352595
0.65,49.5,0.405894
0.65,57,0.467393
0.65,65.5,0.537092
0.65,75,0.614991
0.75,24.5,0.174111
0.75,28,0.198984
0.75,32.5,0.230963
0.75,37.5,0.266496
0.75,43,0.305582
0.75,49.5,0.351775
0.75,57,0.405074
0.75,65.5,0.46548
0.75,75,0.532992
0.07,8.75,0.555259
0.07,10.25,0.650447
0.1,10.25,0.455313
0.1,11.75,0.521944
0.1,13.25,0.588575
0.14,11.75,0.372817
0.14,13.25,0.420411
0.14,15,0.475937
0.14,17,0.539395
0.14,19,0.602853
0.18,11.75,0.289969
0.18,13.25,0.326986
0.18,15,0.370173
0.18,17,0.419529
0.18,19,0.468886
0.18,21.5,0.530581
0.18,24.5,0.604616
0.225,11.75,0.231975
0.225,13.25,0.261589
0.225,15,0.296138
0.225,17,0.335623
0.225,19,0.375109
0.225,21.5,0.424465
0.225,24.5,0.483693
0.225,28,0.552792
0.225,32.5,0.641633
0.275,13.25,0.214027
0.275,15,0.242295
0.275,17,0.274601
0.275,19,0.306907
0.275,21.5,0.34729
0.275,24.5,0.395749
0.275,28,0.452284
0.275,32.5,0.524973
0.275,37.5,0.605738
0.275,43,0.694579
0.35,13.25,0.168164
0.35,15,0.190375
0.35,17,0.215758
0.35,19,0.241141
0.35,21.5,0.27287
0.35,24.5,0.310945
0.35,28,0.355366
0.35,32.5,0.412478
0.35,37.5,0.475937
0.35,43,0.545741
0.35,49.5,0.628236
0.35,57,0.723424
0.45,13.25,0.130794
0.45,15,0.148069
0.45,17,0.167812
0.45,19,0.187554
0.45,21.5,0.212232
0.45,24.5,0.241846
0.45,28,0.276396
0.45,32.5,0.320817
0.45,37.5,0.370173
0.45,43,0.424465
0.45,49.5,0.488628
0.45,57,0.562663
0.45,65.5,0.646569
0.45,75,0.740346
0.55,15,0.121148
0.55,17,0.137301
0.55,19,0.153454
0.55,21.5,0.173645
0.55,24.5,0.197874
0.55,28,0.226142
0.55,32.5,0.262486
0.55,37.5,0.302869
0.55,43,0.34729
0.55,49.5,0.399787
0.55,57,0.460361
0.55,65.5,0.529011
0.55,75,0.605738
0.55,86,0.694579
0.65,17,0.116177
0.65,19,0.129845
0.65,21.5,0.14693
0.65,24.5,0.167432
0.65,28,0.191351
0.65,32.5,0.222104
0.65,37.5,0.256274
0.65,43,0.29386
0.65,49.5,0.338281
0.65,57,0.389536
0.65,65.5,0.447625
0.65,75,0.512547
0.65,86,0.587721
0.65,99,0.676562
0.75,32.5,0.19249
0.75,37.5,0.222104
0.75,43,0.254679
0.75,49.5,0.293177
0.75,57,0.337598
0.75,65.5,0.387941
0.75,75,0.444208
0.75,86,0.509358
0.75,99,0.586354
0.07,8.75,0.555259
0.07,10.25,0.650447
0.1,10.25,0.455313
0.1,11.75,0.521944
0.1,13.25,0.588575
0.14,11.75,0.372817
0.14,13.25,0.420411
0.14,15,0.475937
0.14,17,0.539395
0.14,19,0.602853
0.18,11.75,0.289969
0.18,13.25,0.326986
0.18,15,0.370173
0.18,17,0.419529
0.18,19,0.468886
0.18,21.5,0.530581
0.18,24.5,0.604616
0.225,11.75,0.231975
0.225,13.25,0.261589
0.225,15,0.296138
0.225,17,0.335623
0.225,19,0.375109
0.225,21.5,0.424465
0.225,24.5,0.483693
0.225,28,0.552792
0.225,32.5,0.641633
0.275,13.25,0.214027
0.275,15,0.242295
0.275,17,0.274601
0.275,19,0.306907
0.275,21.5,0.34729
0.275,24.5,0.395749
0.275,28,0.452284
0.275,32.5,0.524973
0.275,37.5,0.605738
0.275,43,0.694579
0.35,13.25,0.168164
0.35,15,0.190375
0.35,17,0.215758
0.35,19,0.241141
0.35,21.5,0.27287
0.35,24.5,0.310945
0.35,28,0.355366
0.35,32.5,0.412478
0.35,37.5,0.475937
0.35,43,0.545741
0.35,49.5,0.628236
0.35,57,0.723424
0.45,13.25,0.130794
0.45,15,0.148069
0.45,17,0.167812
0.45,19,0.187554
0.45,21.5,0.212232
0.45,24.5,0.241846
0.45,28,0.276396
0.45,32.5,0.320817
0.45,37.5,0.370173
0.45,43,0.424465
0.45,49.5,0.488628
0.45,57,0.562663
0.45,65.5,0.646569
0.45,75,0.740346
0.55,15,0.121148
0.55,17,0.137301
0.55,19,0.153454
0.55,21.5,0.173645
0.55,24.5,0.197874
0.55,28,0.226142
0.55,32.5,0.262486
0.55,37.5,0.302869
0.55,43,0.34729
0.55,49.5,0.399787
0.55,57,0.460361
0.55,65.5,0.529011
0.55,75,0.605738
0.55,86,0.694579
0.65,17,0.116177
0.65,19,0.129845
0.65,21.5,0.14693
0.65,24.5,0.167432
0.65,28,0.191351
0.65,32.5,0.222104
0.65,37.5,0.256274
0.65,43,0.29386
0.65,49.5,0.338281
0.65,57,0.389536
0.65,65.5,0.447625
0.65,75,0.512547
0.65,86,0.587721
0.65,99,0.676562
0.75,32.5,0.19249
0.75,37.5,0.222104
0.75,43,0.254679
0.75,49.5,0.293177
0.75,57,0.337598
0.75,65.5,0.387941
0.75,75,0.444208
0.75,86,0.509358
0.75,99,0.586354
0.07,17,0.647274
0.07,19,0.723424
0.1,19,0.506397
0.1,21.5,0.573028
0.1,24.5,0.652985
0.14,21.5,0.409306
0.14,24.5,0.466418
0.14,28,0.533049
0.14,32.5,0.618718
0.18,21.5,0.318349
0.18,24.5,0.362769
0.18,28,0.414594
0.18,32.5,0.481225
0.18,37.5,0.555259
0.18,43,0.636697
0.225,28,0.331675
0.225,32.5,0.38498
0.225,37.5,0.444208
0.225,43,0.509358
0.225,49.5,0.586354
0.225,57,0.675195
0.275,28,0.27137
0.275,32.5,0.314984
0.275,37.5,0.363443
0.275,43,0.416747
0.275,49.5,0.479744
0.275,57,0.552433
0.275,65.5,0.634813
0.275,75,0.726885
0.35,32.5,0.247487
0.35,37.5,0.285562
0.35,43,0.327444
0.35,49.5,0.376942
0.35,57,0.434054
0.35,65.5,0.498782
0.35,75,0.571124
0.35,86,0.654889
0.35,99,0.753884
0.45,32.5,0.19249
0.45,37.5,0.222104
0.45,43,0.254679
0.45,49.5,0.293177
0.45,57,0.337598
0.45,65.5,0.387941
0.45,75,0.444208
0.45,86,0.509358
0.45,99,0.586354
0.45,115.5,0.68408
0.55,32.5,0.157492
0.55,37.5,0.181721
0.55,43,0.208374
0.55,49.5,0.239872
0.55,57,0.276216
0.55,65.5,0.317406
0.55,75,0.363443
0.55,86,0.416747
0.55,99,0.479744
0.55,115.5,0.559701
0.55,137.5,0.666311
0.65,32.5,0.133262
0.65,37.5,0.153764
0.65,43,0.176316
0.65,49.5,0.202969
0.65,57,0.233722
0.65,65.5,0.268575
0.65,75,0.307528
0.65,86,0.352632
0.65,99,0.405937
0.65,115.5,0.473594
0.65,137.5,0.563802
0.75,43,0.152807
0.75,49.5,0.175906
0.75,57,0.202559
0.75,65.5,0.232765
0.75,75,0.266525
0.75,86,0.305615
0.75,99,0.351812
0.75,115.5,0.410448
0.75,137.5,0.488628
0.07,17,0.647274
0.07,19,0.723424
0.1,19,0.506397
0.1,21.5,0.573028
0.1,24.5,0.652985
0.14,21.5,0.409306
0.14,24.5,0.466418
0.14,28,0.533049
0.14,32.5,0.618718
0.18,21.5,0.318349
0.18,24.5,0.362769
0.18,28,0.414594
0.18,32.5,0.481225
0.18,37.5,0.555259
0.18,43,0.636697
0.225,28,0.331675
0.225,32.5,0.38498
0.225,37.5,0.444208
0.225,43,0.509358
0.225,49.5,0.586354
0.225,57,0.675195
0.275,28,0.27137
0.275,32.5,0.314984
0.275,37.5,0.363443
0.275,43,0.416747
0.275,49.5,0.479744
0.275,57,0.552433
0.275,65.5,0.634813
0.275,75,0.726885
0.35,32.5,0.247487
0.35,37.5,0.285562
0.35,43,0.327444
0.35,49.5,0.376942
0.35,57,0.434054
0.35,65.5,0.498782
0.35,75,0.571124
0.35,86,0.654889
0.35,99,0.753884
0.45,32.5,0.19249
0.45,37.5,0.222104
0.45,43,0.254679
0.45,49.5,0.293177
0.45,57,0.337598
0.45,65.5,0.387941
0.45,75,0.444208
0.45,86,0.509358
0.45,99,0.586354
0.45,115.5,0.68408
0.55,32.5,0.157492
0.55,37.5,0.181721
0.55,43,0.208374
0.55,49.5,0.239872
0.55,57,0.276216
0.55,65.5,0.317406
0.55,75,0.363443
0.55,86,0.416747
0.55,99,0.479744
0.55,115.5,0.559701
0.55,137.5,0.666311
0.65,32.5,0.133262
0.65,37.5,0.153764
0.65,43,0.176316
0.65,49.5,0.202969
0.65,57,0.233722
0.65,65.5,0.268575
0.65,75,0.307528
0.65,86,0.352632
0.65,99,0.405937
0.65,115.5,0.473594
0.65,137.5,0.563802
0.75,43,0.152807
0.75,49.5,0.175906
0.75,57,0.202559
0.75,65.5,0.232765
0.75,75,0.266525
0.75,86,0.305615
0.75,99,0.351812
0.75,115.5,0.410448
0.75,137.5,0.488628
0.1,32.5,0.618718
0.1,37.5,0.713905
0.14,37.5,0.509932
0.14,43,0.584722
0.14,49.5,0.67311
0.14,57,0.775097
0.18,37.5,0.396614
0.18,43,0.454784
0.18,49.5,0.52353
0.18,57,0.602853
0.18,65.5,0.692752
0.225,37.5,0.317291
0.225,43,0.363827
0.225,49.5,0.418824
0.225,57,0.482282
0.225,65.5,0.554202
0.225,75,0.634582
0.225,86,0.727654
0.275,37.5,0.259602
0.275,43,0.297677
0.275,49.5,0.342674
0.275,57,0.394595
0.275,65.5,0.453438
0.275,75,0.519204
0.275,86,0.595353
0.275,99,0.685349
0.275,115.5,0.799574
0.35,43,0.233889
0.35,49.5,0.269244
0.35,57,0.310039
0.35,65.5,0.356273
0.35,75,0.407946
0.35,86,0.467778
0.35,99,0.538488
0.35,115.5,0.628236
0.35,137.5,0.7479
0.45,43,0.181914
0.45,49.5,0.209412
0.45,57,0.241141
0.45,65.5,0.277101
0.45,75,0.317291
0.45,86,0.363827
0.45,99,0.418824
0.45,115.5,0.488628
0.45,137.5,0.5817
0.45,175,0.740346
0.55,43,0.148838
0.55,49.5,0.171337
0.55,57,0.197297
0.55,65.5,0.226719
0.55,75,0.259602
0.55,86,0.297677
0.55,99,0.342674
0.55,115.5,0.399787
0.55,137.5,0.475937
0.55,175,0.605738
0.55,230,0.796112
0.65,49.5,0.144978
0.65,57,0.166944
0.65,65.5,0.191839
0.65,75,0.219663
0.65,86,0.25188
0.65,99,0.289955
0.65,115.5,0.338281
0.65,137.5,0.402716
0.65,175,0.512547
0.65,230,0.673633
0.75,57,0.144685
0.75,65.5,0.166261
0.75,75,0.190375
0.75,86,0.218296
0.75,99,0.251295
0.75,115.5,0.293177
0.75,137.5,0.34902
0.75,175,0.444208
0.75,230,0.583816
0.1,32.5,0.618718
0.1,37.5,0.713905
0.14,37.5,0.509932
0.14,43,0.584722
0.14,49.5,0.67311
0.14,57,0.775097
0.18,37.5,0.396614
0.18,43,0.454784
0.18,49.5,0.52353
0.18,57,0.602853
0.18,65.5,0.692752
0.225,37.5,0.317291
0.225,43,0.363827
0.225,49.5,0.418824
0.225,57,0.482282
0.225,65.5,0.554202
0.225,75,0.634582
0.225,86,0.727654
0.275,37.5,0.259602
0.275,43,0.297677
0.275,49.5,0.342674
0.275,57,0.394595
0.275,65.5,0.453438
0.275,75,0.519204
0.275,86,0.595353
0.275,99,0.685349
0.275,115.5,0.799574
0.35,43,0.233889
0.35,49.5,0.269244
0.35,57,0.310039
0.35,65.5,0.356273
0.35,75,0.407946
0.35,86,0.467778
0.35,99,0.538488
0.35,115.5,0.628236
0.35,137.5,0.7479
0.45,43,0.181914
0.45,49.5,0.209412
0.45,57,0.241141
0.45,65.5,0.277101
0.45,75,0.317291
0.45,86,0.363827
0.45,99,0.418824
0.45,115.5,0.488628
0.45,137.5,0.5817
0.45,175,0.740346
0.55,43,0.148838
0.55,49.5,0.171337
0.55,57,0.197297
0.55,65.5,0.226719
0.55,75,0.259602
0.55,86,0.297677
0.55,99,0.342674
0.55,115.5,0.399787
0.55,137.5,0.475937
0.55,175,0.605738
0.55,230,0.796112
0.65,49.5,0.144978
0.65,57,0.166944
0.65,65.5,0.191839
0.65,75,0.219663
0.65,86,0.25188
0.65,99,0.289955
0.65,115.5,0.338281
0.65,137.5,0.402716
0.65,175,0.512547
0.65,230,0.673633
0.75,57,0.144685
0.75,65.5,0.166261
0.75,75,0.190375
0.75,86,0.218296
0.75,99,0.251295
0.75,115.5,0.293177
0.75,137.5,0.34902
0.75,175,0.444208
0.75,230,0.583816
